"taxonomy1","taxonomy2","taxonomy3","taxonomy4","taxonomy5","taxonomy6","taxonomy7","taxonomy8"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","NA","NA","NA","OTU_1103"
"Fungi","Chytridiomycota","Rhizophlyctidomycetes","Rhizophlyctidales","Rhizophlyctidaceae","Rhizophlyctis","rosea","OTU_2134"
"Fungi","NA","NA","NA","NA","NA","NA","OTU_2355"
"Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Schizothecium","NA","OTU_2565"
"Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae","Helicosporium","NA","OTU_1372"
"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","NA","OTU_1508"
"Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariaceae","Sordaria","fimicola","OTU_1443"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","NA","NA","NA","OTU_1835"
"Fungi","Ascomycota","Dothideomycetes","NA","NA","NA","NA","OTU_864"
"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Peziza","NA","OTU_734"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria","NA","OTU_622"
"Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","NA","OTU_786"
"Fungi","Ascomycota","Sordariomycetes","Branch06","Branch06_fam_Incertae_sedis","Branch06_gen_Incertae_sedis","NA","OTU_1055"
"Fungi","Ascomycota","NA","NA","NA","NA","NA","OTU_1073"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","NA","NA","NA","OTU_2097"
"Fungi","Ascomycota","NA","NA","NA","NA","NA","OTU_403"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","NA","OTU_354"
"Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Clypeophysalosporaceae","Bagadiella","victoriae","OTU_1915"
"Fungi","NA","NA","NA","NA","NA","NA","OTU_2334"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Westerdykella","NA","OTU_1570"
"Fungi","NA","NA","NA","NA","NA","NA","OTU_2634"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Typhulaceae","Typhula","trifolii","OTU_2479"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Disciseda","NA","OTU_2430"
"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Hydropisphaera","cyatheae","OTU_1716"
"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","amoeboidea","OTU_2049"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Marasmius","oreades","OTU_2205"
"Fungi","Ascomycota","Sordariomycetes","NA","NA","NA","NA","OTU_973"
"Fungi","NA","NA","NA","NA","NA","NA","OTU_2861"
"Fungi","Basidiomycota","NA","NA","NA","NA","NA","OTU_1349"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinellus","radians","OTU_2267"
"Fungi","Ascomycota","Sordariomycetes","Hypocreales","NA","NA","NA","OTU_1495"
"Fungi","NA","NA","NA","NA","NA","NA","OTU_1589"
"Fungi","Ascomycota","Laboulbeniomycetes","Pyxidiophorales","Pyxidiophoraceae","Pyxidiophora","arvernensis","OTU_344"
"Fungi","NA","NA","NA","NA","NA","NA","OTU_2233"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Marasmius","NA","OTU_2393"
"Fungi","NA","NA","NA","NA","NA","NA","OTU_1338"
"Fungi","Ascomycota","Dothideomycetes","Muyocopronales","Muyocopronaceae","Leptodiscella","NA","OTU_929"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Leptospora","NA","OTU_870"
